url_path,views_total,views_unique
/CARV-ICS-FORTH/frisbee,8,7
/CARV-ICS-FORTH/frisbee/tree/main/examples/patterns/federated-learning,6,3
/CARV-ICS-FORTH/frisbee/tree/main/examples/apps/tebis,5,2
/CARV-ICS-FORTH/frisbee/tree/main/examples/apps/tebis/examples,3,1
/CARV-ICS-FORTH/frisbee/tree/main/examples/apps/tebis/templates,3,1
/CARV-ICS-FORTH/frisbee/blob/main/examples/apps/tebis/examples/normal-execution.yml,2,1
/CARV-ICS-FORTH/frisbee/blob/main/examples/apps/tebis/templates/services.yml,2,1
/CARV-ICS-FORTH/frisbee/stargazers,2,1
/CARV-ICS-FORTH/frisbee/tree/main,2,1
/CARV-ICS-FORTH/frisbee/tree/main/examples,2,1
