url_path,views_total,views_unique
/CARV-ICS-FORTH/frisbee/tree/main/examples/apps/cockroachdb,10,3
/CARV-ICS-FORTH/frisbee,8,5
/CARV-ICS-FORTH/frisbee/tree/main/examples,8,1
/CARV-ICS-FORTH/frisbee/tree/main/examples/apps/cockroachdb/examples,6,1
/CARV-ICS-FORTH/frisbee/tree/main/charts,4,1
/CARV-ICS-FORTH/frisbee/tree/main/charts/platform/templates,4,1
/CARV-ICS-FORTH/frisbee/tree/main/examples/apps,4,1
/CARV-ICS-FORTH/frisbee/tree/main/controllers,3,1
/CARV-ICS-FORTH/frisbee/blob/a3f6f5363062adb171857b53c15b8954f5004de0/charts/platform/README.md,2,1
/CARV-ICS-FORTH/frisbee/blob/main/charts/platform/templates/volumes/storageclasses.yml,2,1
