time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-05-28 00:00:00+00:00,3,3,1.0,1.0
2024-05-29 00:00:00+00:00,7,4,,
2024-05-30 00:00:00+00:00,3,3,1.0,1.0
2024-05-31 00:00:00+00:00,9,6,13.0,2.0
2024-06-01 00:00:00+00:00,2,2,10.0,2.0
2024-06-02 00:00:00+00:00,3,3,,
2024-06-03 00:00:00+00:00,3,3,1.0,1.0
2024-06-04 00:00:00+00:00,2,2,,
2024-06-05 00:00:00+00:00,3,3,,
2024-06-06 00:00:00+00:00,3,3,1.0,1.0
2024-06-07 00:00:00+00:00,3,3,,
2024-06-08 00:00:00+00:00,3,3,17.0,1.0
2024-06-09 00:00:00+00:00,6,3,3.0,2.0
2024-06-10 00:00:00+00:00,2,2,23.0,2.0
