time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-09-28 00:00:00+00:00,7,6,2.0,2.0
2025-09-29 00:00:00+00:00,16,9,1.0,1.0
2025-09-30 00:00:00+00:00,57,23,1.0,1.0
2025-10-01 00:00:00+00:00,20,19,,
2025-10-02 00:00:00+00:00,10,6,,
2025-10-03 00:00:00+00:00,4,4,4.0,4.0
2025-10-04 00:00:00+00:00,5,5,,
2025-10-05 00:00:00+00:00,5,5,4.0,4.0
2025-10-06 00:00:00+00:00,3,3,7.0,7.0
2025-10-07 00:00:00+00:00,4,4,4.0,4.0
2025-10-08 00:00:00+00:00,1,1,2.0,2.0
2025-10-09 00:00:00+00:00,22,20,2.0,2.0
2025-10-10 00:00:00+00:00,17,12,5.0,4.0
2025-10-11 00:00:00+00:00,9,8,,
