time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-12-01 00:00:00+00:00,58,21,,
2025-12-02 00:00:00+00:00,37,16,6.0,1.0
2025-12-03 00:00:00+00:00,100,32,,
2025-12-04 00:00:00+00:00,11,7,4.0,3.0
2025-12-05 00:00:00+00:00,9,5,1.0,1.0
2025-12-06 00:00:00+00:00,12,4,1.0,1.0
2025-12-07 00:00:00+00:00,9,5,3.0,3.0
2025-12-08 00:00:00+00:00,2,2,,
2025-12-09 00:00:00+00:00,14,7,,
2025-12-10 00:00:00+00:00,10,6,,
2025-12-11 00:00:00+00:00,6,2,,
2025-12-12 00:00:00+00:00,10,6,1.0,1.0
2025-12-13 00:00:00+00:00,8,4,,
