time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-09-27 00:00:00+00:00,7,4,33.0,2.0
2023-09-28 00:00:00+00:00,5,3,,
2023-09-29 00:00:00+00:00,5,4,1.0,1.0
2023-09-30 00:00:00+00:00,4,3,,
2023-10-01 00:00:00+00:00,5,4,,
2023-10-02 00:00:00+00:00,3,3,12.0,2.0
2023-10-03 00:00:00+00:00,2,2,,
2023-10-04 00:00:00+00:00,2,2,19.0,3.0
2023-10-05 00:00:00+00:00,6,2,4.0,1.0
2023-10-06 00:00:00+00:00,2,2,6.0,2.0
2023-10-07 00:00:00+00:00,7,3,1.0,1.0
2023-10-08 00:00:00+00:00,1,1,9.0,2.0
2023-10-09 00:00:00+00:00,3,3,9.0,3.0
2023-10-10 00:00:00+00:00,2,1,,
