time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-01-28 00:00:00+00:00,2,1,,
2025-01-29 00:00:00+00:00,2,1,,
2025-01-30 00:00:00+00:00,6,3,,
2025-01-31 00:00:00+00:00,5,3,,
2025-02-01 00:00:00+00:00,4,2,1.0,1.0
2025-02-02 00:00:00+00:00,5,3,,
2025-02-03 00:00:00+00:00,6,3,2.0,2.0
2025-02-04 00:00:00+00:00,6,3,1.0,1.0
2025-02-05 00:00:00+00:00,4,3,,
2025-02-06 00:00:00+00:00,6,3,2.0,2.0
2025-02-07 00:00:00+00:00,3,3,1.0,1.0
2025-02-08 00:00:00+00:00,2,2,,
2025-02-09 00:00:00+00:00,3,3,,
2025-02-10 00:00:00+00:00,1,1,,
