time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-10-03 00:00:00+00:00,4,4,4.0,4.0
2025-10-04 00:00:00+00:00,5,5,,
2025-10-05 00:00:00+00:00,5,5,4.0,4.0
2025-10-06 00:00:00+00:00,3,3,7.0,7.0
2025-10-07 00:00:00+00:00,4,4,4.0,4.0
2025-10-08 00:00:00+00:00,1,1,2.0,2.0
2025-10-09 00:00:00+00:00,22,20,2.0,2.0
2025-10-10 00:00:00+00:00,17,12,5.0,4.0
2025-10-11 00:00:00+00:00,15,13,,
2025-10-12 00:00:00+00:00,9,8,1.0,1.0
2025-10-13 00:00:00+00:00,4,4,6.0,2.0
2025-10-14 00:00:00+00:00,23,6,4.0,4.0
2025-10-15 00:00:00+00:00,12,10,1.0,1.0
2025-10-16 00:00:00+00:00,17,6,1.0,1.0
