url_path,views_total,views_unique
/CARV-ICS-FORTH/frisbee,31,9
/CARV-ICS-FORTH/frisbee/blob/main/hack/pdf-exporter/fast-generator.js,5,3
/CARV-ICS-FORTH/frisbee/tree/main/charts/databases/mongodb,4,1
/CARV-ICS-FORTH/frisbee/tree/main/charts,3,2
/CARV-ICS-FORTH/frisbee/search,3,1
/CARV-ICS-FORTH/frisbee/tree/main/charts/databases,2,2
/CARV-ICS-FORTH/frisbee/blob/9a210b7b6eb7ba6890f17defca8625d2f9e69387/pkg/grafana/dataquery.go,2,1
/CARV-ICS-FORTH/frisbee/blob/9a210b7b6eb7ba6890f17defca8625d2f9e69387/pkg/grafana/url.go,2,1
/CARV-ICS-FORTH/frisbee/blob/github-repo-stats/CARV-ICS-FORTH/frisbee/latest-report/report.pdf,2,1
/CARV-ICS-FORTH/frisbee/tree/github-repo-stats,2,1
